id,"Version Num","Release Date",ChangeLog,"Version Features","Version Status","Version Detail"
14,1.1.7,2024.08.16,"기능 추가","UserDB 저장 기능",Inactive,"ANALYSIS->User DB->테이블 선택->다운"
15,1.1.8,2024.08.16,"오류 수정, 기능 추가","데이터 분석 설명 추가",Inactive,"ANALYSIS->데이터 분석
그래프 설명문 txt파일 자동 저장"
16,1.1.9,2024.08.16,"오류 수정","오류 수정",Inactive,"구동 속도 개선 로직 추가"
17,1.2.0,2024.08.18,"오류 수정, 보안 추가","초기 보안 로그인",Inactive,"[필독!!!!!!!!!!!]

1. 사이드바 크기 변동 오류 수정



2. 초기 보안 로그인 및 디바이스 등록(중요!!)
- 외부인이 프로그램에 접근하는 것을 막기 위해 추가한 기능입니다

2-1. 노트북에서 처음 프로그램을 구동할 시 사용자명과 비밀번호를 입력하라는 창이 뜨면,

2-2.

User Name: 자신의 이름
Password: bigmaclab2022!

2-3. 이름, 비밀번호를 입력하면 다음에 프로그램을 구동할 시 디바이스가 등록되어 추가적인 로그인이 필요하지 않습니다

"
18,1.3.0,2024.08.20,"KEMKIM 기능 추가","KEMKIM 업데이트",Inactive,"1. KEMKIM 시계열 정밀 분석
2. KEMKIM 시각화 애니메이션"
19,1.3.1,2024.08.21,"오류 수정","오류 수정",Inactive,"오류 수정"
20,1.3.2,2024.08.22,"오류 수정","오류 수정",Inactive,"KEMKIM 기능 추가"
21,1.3.3,2024.08.23,"버그 수정","버그 대응",Inactive,"1. 예외어사전 코덱 예외처리, 튕김 버그 수정
2. 앱 배치 자동 중앙 정렬 처리"
22,1.3.4,2024.08.26,"kemkim 업데이트",기능추가,Inactive,
23,1.3.5,2024.08.26,"kemkim 업데이트","KEM KIM 그래프 추가
coordinates trace",Inactive,
24,1.3.6,2024.08.26,"KEMKIM 피드백 반영","피드백 반영 및 오류 수정",Inactive,"파일 참조 오류 수정"
25,1.4.0,2024.08.27,"kemkim 기능추가
로그 기능 추가","KEMKIM AI분석",Inactive,"1. 버그 리포트 시 프로그램 로그 자동전달
2. KEMKIM AI 해석 기능추가"
26,1.4.1,2024.08.27,"import 버그 대응","import 버그 대응",Inactive,"import 버그 대응"
27,1.4.2,2024.08.27,"버그 수정","버그 수정",Inactive,"버그 수정"
28,1.4.3,2024.08.27,"스크롤바 추가","스크롤바 추가",Inactive,"스크롤바 추가"
29,1.4.4,2024.08.27,"AI 분석 수정
KEM KIM 수정","AI 분석 쿼리 수정
KEM KIM info.txt 수정",Inactive,"AI 분석 쿼리 수정: 크롤링 키워드 포함
KEM KIM info.txt 수정: 제외단어리스트 파일 경로 포함"
30,1.4.5,2024.08.28,"KEMKIM Interpret 변경","KEMKIM Interpret 변경",Inactive,"1. Interpret KEMKIM 필터링 키워드 저장방식 변경
2. Analyze -> Analysis 폴더명 변경"
31,1.4.6,2024.08.28,"AI 분석 버그 수정","AI 분석 버그 수정",Inactive,"AI 분석 버그 수정"
32,1.4.7,2024.08.28,"KEMKIM 버그 로그 작성 추가","KEMKIM 버그 로그 작성 추가",Inactive,"KEMKIM 버그 로그 작성 추가"
33,1.4.8,2024.08.28,"버그 수정","버그 수정",Inactive,"버그 수정"
34,1.4.9,2024.08.28,"간단 기능 추가","간단 기능 추가",Inactive,"KEMKIM 키워드 체크박스 "모두선택" 로직 변경"
35,1.5.0,2024.08.28,"KEMKIM 기능추가","키워드 문맥 기능 추가",Inactive,"Kemkim interpret -> 키워드 문맥 csv 생성"
36,1.5.1,2024.08.29,"KEMKIM 기능 추가","KEMKIM 분석 단위 추가",Inactive,"Kemkim 입력
year -> date 변경

주단위 분석, 일단위 분석 추가"
37,1.5.2,2024.08.29,"오류 수정
기능 추가","KEMKIM 키워드별 문맥 txt 저장 기능 추가",Inactive,"1. kemkim 개월 단위 분석 오류 수정
2. kemkim 12개월 -> 1년 명칭 수정
3. kemkim 키워드별 문맥 txt파일 저장기능 추가"
38,1.5.3,2024.08.29,"KEMKIM 예외처리추가","KEMKIM 예외처리추가",Inactive,"KEMKIM DOD/DOV 값이 0 이하로 나오는 오류에 대한 예외처리 경고문 추가"
39,1.5.4,2024.08.29,"DBinfo 버그 수정","DBinfo 버그 수정",Inactive,"DBinfo 버그 수정"
40,1.5.5,2024.09.02,"KEMKIM 버그 대응","KEMKIM 코덱 문제, 예외처리 추가",Inactive,"1. KEMKIM 해석 문맥 저장 시 코덱 예외처리 수정
2. info.txt 검사 로직 추가"
41,1.5.6,2024.09.04,"KEMKIM 버그 대응","KEMKIM DateSplit 관련 버그
파일 입력 예외처리",Inactive,"1. KEMKIM 시작 시 1달 단위 split 버그 대응
2. 파일 입력 시 존재하지 않는 경우에 대한 예외처리

# 다운로드 페이지에 Released Date 포함"
42,1.6.0,2024.09.04,"자유게시판 추가","자유게시판 추가",Inactive,"BOARD -> 자유게시판 추가"
43,1.6.1,2024.09.04,"KEMKIM 그래프 사이즈 조정 기능 추가","그래프 사이즈 조정",Inactive,"KEMKIM 그래프 조정 -> 그래프 사이즈 조정 가능"
44,1.6.2,2024.09.04,"KEMKIM 그래프 조정 기능 추가","그래프 점사이즈 조정
키워드 영단어 변환 기능",Inactive,"KEMKIM 그래프 점사이즈 조절
KEMKIM 한글 -> 영단어 변환 기능 추가"
45,1.6.3,2024.09.04,"KEMKIM 그래프 조정 기능 추가 ","그래프 라벨 사이즈 조정
눈금 사이즈 조정",Inactive,"그래프 라벨 사이즈 조정 가능
눈금 사이즈 조정 가능"
46,1.6.4,2024.09.04,"기타 버그 업데이트","기타 버그 업데이트",Inactive,"기타 버그 업데이트"
47,1.6.5,2024.09.05,"기타 버그 업데이트","기타 버그 업데이트",Inactive,"기타 버그 업데이트"
48,1.6.6,2024.09.05,"자유게시판 전체알림 기능 추가","자유게시판 전체알림 기능",Inactive,"자유게시판 전체알림 기능 추가"
49,1.7.0,2024.09.09,"CSV로 저장 필터링 기능 추가",""CSV로 저장" 필터링 기능",Inactive,"자유게시판 참고 부탁드립니다"
50,1.7.1,2024.09.11,"자동 업데이트 기능 추가","자동 업데이트",Inactive,"프로그램 실행 후 새 버전 존재할 시 자동 업데이트 설치 및 새로운 버전으로 자동 실행"
51,1.7.2,2024.09.11,"DB 접속 실패 예외처리 추가","DB 접속 실패 예외처리",Inactive,"DB 접속 실패 예외처리"
52,1.7.3,2024.09.11,"버그 리포트 편의 기능 추가","버그 리포트",Inactive,"프로그램 사용 도중 버그 발생 시, 그 즉시 리포트 가능"
53,1.7.4,2024.09.17,"업데이트 팝업, 메뉴바
","업데이트 창 기능 표시 추가
메뉴바 Info 탭 생성
",Inactive,"업데이트 창 기능 표시 추가
메뉴바 Info 탭 생성
"
54,1.8.0,2024.10.02,"DB 용량 관련 기능 추가","DB 용량 관련 기능",Inactive,"1. DATABASE 탭 우측 하단 전체 DB 스토리지 용량 표시
2. DATABASE 탭 DB 테이블에 용량 표시
3. CSV로 저장 시 예상 시간 계산
4. 네트워크 접속 실패 시 Solution 안내 문구"
55,1.8.1,2024.10.02,"버그 수정","버그 수정",Inactive,"버그 수정"
56,1.8.2,2024.10.08,"부팅 버그 대응","버그 수정",Inactive,"초기 사용자 부팅 버그 대응"
57,1.8.3,2024.10.09,"자동 업데이트 수정","알림 추가",Inactive,"자동 업데이트 시 다운로드 디렉토리 알림"
58,1.8.4,2024.10.09,"버그 수정","DB 저장 버그 수정",Inactive,"1.8.0~1.8.2 버그 수정
DB 저장 튕김 현상 버그 수정"
59,1.8.5,2024.10.14,"크롤러 서버 우선순위
기타 기능 변경","기능 변경",Inactive,"1. 1순위 크롤러 서버 변경
2. 기타 기능 변경"
60,1.9.0,2024.10.14,"크롤링 데이터 기록에 "연도 추가"","데이터 형식 변경",Inactive,"기존 버전 '2024'년 이후 크롤링 데이터 반영 불가.

크롤링 데이터의 크롤링 시작, 종료 일자에 "연도" 추가 후 관련 로직 업데이트, DB 테이블에 연도 표시 추가"
61,1.9.1,2024.10.15,"디자인/레이아웃 개선",디자인/레이아웃,Inactive,"팝업창 디자인 레이아웃 개선"
62,1.9.2,2024.10.16,"예외처리 추가","튕김 버그 수정",Inactive,"KEMKIM 해석 -> AI 분석

사용량 제한 시 튕김 버그 대응 예외처리 추가"
63,1.9.3,2024.10.17,"포맷 변경","로깅 로직 및 포맷 변경",Inactive,"1. 버그 로깅 로직 및 파일 저장 형식 변경
2. AI 분석 오류 메시지 수정"
64,1.9.4,2024.10.17,"버그 수정","부팅 관련 매우 치명적 버그 수정",Inactive,"이전 버전 신규 사용자 부팅 버그

--> 신규 사용자는 이전 버전 실행 안 될 시 
C:/BIGMACLAB_MANAGER <== 폴더 생성 필요"
65,1.9.5,2024.10.19,최적화,"성능 최적화",Inactive,"컴파일단계 최적화"
66,1.10.0,2024.10.19,"기능 추가","진행 상황 콘솔 추가",Inactive,"'CSV로 저장', 'KEMKIM 분석' 등 오래 걸리는 작업 실행 시 콘솔창에서 진행상황 출력"
67,1.11.0,2024.10.21,"배포 형식 변경","exe 설치파일 배포 변경",Inactive,"이제 바로 실행되는 exe파일이 아닌 설치파일로 프로그램이 배포됩니다"
68,1.11.1,2024.10.21,"버그 수정","버그 수정",Inactive,"버그 수정"
69,2.0.0,2024.10.21,"성능 개선 및 최적화","성능 비약적 개선",Inactive,"1. 설치파일을 이용한 다운로드 방식으로 프로그램 부팅시간을 기존의 3~4배 끌어올렸습니다
2. 꼭 다운로드 부탁드려요!"
70,2.0.1,2024.10.23,"성능 개선","KEMKIM 성능 개선",Inactive,"코드 최적화, 병렬화로 KEMKIM 속도 개선"
71,2.0.2,2024.10.25,"기능 추가","콘솔 출력 추가 및 사용자 로깅
",Inactive,"1. ANALYSIS에서 콘솔 출력 기능 추가
2. 유저 로깅 추가"
72,2.0.3,2024.10.26,"기능 추가","테이블 기능",Inactive,"* C:/BIGMACLAB_MANAGER 폴더 내에 manager_log.txt 지우셔도 무방합니다.

프로그램 내의 모든 Table에 대해
1.  셀에 마우스 커서 올려놓으면 전체 내용 표시
2. 셀 더블 클릭 시 상세내용 표시 창

- 자잘한 버그 수정
- 버그 기록 로직 로컬 기반 -> DB로 변경
"
73,2.0.4,2024.10.30,"레이아웃 변경","User DB",Inactive,"User DB
ANALYSIS에서 USER로 위치 변경"
74,2.0.5,2024.11.02,"기능추가, 레이아웃 변경","User DB, 업데이트",Inactive,"1. UserDB 레이아웃 ANALYSIS -> USER로 위치 변경
2. 사용자 로그 기능 추가(관리자 모드)
3. 업데이트 가능 여부 프로그램 구동 중에 항시 check"
75,2.0.6,2024.11.04,"버그 수정","버그 수정",Inactive,"Kemkim 종료 후 MessageBox 버그 수정"
76,2.1.0,2024.11.05,"보안 업데이트","코드 보안",Inactive,"코드 내부 취약점 대응 업데이트
코드 내부 Password 암호화"
NULL,2.1.1,2024.11.05,"기능 추가",단축키,Inactive,"1. 프로그램 내부 대부분의 버튼에 키보드 단축키 추가 (버튼 위에 마우스 키를 올리면 단축키를 볼 수 있음)
예) 
CSV로 저장 --> Ctrl + S
프로그램 업데이트 확인 --> Ctrl + U

2. 기타 버그 수정"
NULL,2.1.2,2024.11.06,"레이아웃 변경","부팅 스크린",Inactive,"프로그램 부팅 시 부팅화면"
NULL,2.1.3,2024.11.07,"버그 수정","로깅 관련 버그 수정",Inactive,"초기 로그 날짜 생성 버그 수정"
NULL,2.1.4,2024.11.07,"버그 수정","CSV로 저장",Inactive,"필터링 시 버그 수정"
NULL,2.1.5,2024.11.08,"버그 수정","데이터 분석",Inactive,"CSV 데이터 분석 오류 수정"
NULL,2.1.6,2024.11.09,"버그 수정","버그 수정",Inactive,"크롤러 관련 버그 수정"
NULL,2.2.0,2024.11.11,"부팅 속도 향상","DB 검색 엔진",Stable,"DB 순회 및 검색 알고리즘 개선을 통한 부팅속도 개선"
NULL,2.2.1,2024.11.12,"속도 개선","DB 새로고침",Stable,"로직 개선을 통한 미약한 속도 개선"
NULL,2.2.2,2024.11.15,"기능 추가","기능 추가",Stable,"1. DB 삭제 시 자신의 크롤링 데이터만 삭제 가능
2. 일부 password 창 제목 수정"
NULL,2.2.3,2024.11.18,"레이아웃 수정","부팅 스크린",Stable,"1. 부팅 시 부팅 스크린이 화면 최상단에 오도록 수정"
NULL,2.2.4,2024.11.19,"보안 강화","초기 로그인",Stable,"<초기 디바이스 등록>

고정형 비밀번호에서 관리자 인증번호 형식으로 변경. 보안을 위해 다운로드 웹페이지에서 이전 버전의 배포를 중단합니다."
NULL,2.2.5,2024.11.19,"오류 수정",KEMKIM,Stable,"가중치 관련 오류 수정"
NULL,2.2.6,2024.11.21,"기능 추가",KEMKIM,Stable,"1. KEMKIM 비일관 데이터 필터링 옵션 추가
2. 초기 세팅 월단위 분석 시 오류 수정"
NULL,2.2.7,2024.11.21,"오류 수정",KEMKIM,Stable,"1. KEMKIM 옵션 선택 시 선택한 토큰파일의 시작일 종료일로 세팅됨
2. 필터링 옵션 info.txt 표시 오류 수정"
NULL,2.3.0,2024.11.22,"기능 추가","기능 추가",Stable,"1. DB 검색 부분에 ./delete_all 입력 시 프로그램 전체 삭제 가능
2. 내부 로직 수정"
NULL,2.3.1,2024.11.27,"기능 추가","환경 설정",Stable,"1. 기능 <환경설정> 추가
2. 색 테마 변경 가능
3. 부팅 설정 변경가능
4. 부팅 시 새 공지사항 있으면 팝업 창"
NULL,2.3.2,2024.11.29,"기능 추가",ChatGPT,Stable,"검색란에서 ChatGPT 프롬프트 사용가능"
NULL,2.3.3,2024.12.03,"기능 수정","기능 수정",Stable,"기능 수정"
NULL,2.3.4,2024.12.05,"기능 추가","음성인식, TTS",Stable,"1. ChatGPT 프롬프트 사용 시 마이크 음성인식, 답변 TTS 사용 가능
2. DB 새로고침 환경설정
3. 기타 아이콘 추가"
NULL,2.3.5,2024.12.06,"기능 변경","부팅 프로세스",Stable,"부팅 프로세스 절차 변경"
NULL,2.3.6,2024.12.07,"기능 추가","파일 탐색기",Stable,"ANALYSIS->프로그램 내 파일탐색기에서 파일을 더블클릭하면 윈도우 응용프로그램으로 열기가능"
NULL,2.4.0,2024.12.08,"성능 개선","부팅, 상태바",Stable,"1. 라이브러리 지연 로딩으로 부팅속도 더욱 개선
2. 우측 하단 상태바 표시 기능 강화"
NULL,2.4.1,2024.12.08,"버그 수정","CSV로 저장",Stable,"모든 행이 필터링 되었을 때를 대비한 예외처리"
NULL,2.4.2,2024.12.08,"버그 수정","CSV로 저장",Stable,"기타 버그 대응"
NULL,2.4.3,2024.12.08,"기능 변경",폴더명,Stable,"폴더명에 정보 추가"
NULL,2.4.4,2024.12.09,"디자인 변경","폰트, 레이아웃",Stable,"폰트 개선"
NULL,2.5.0,2024.12.10,"기능 추가","DB 병합",Stable,"기존 크롤링 데이터에서 날짜를 추가할 경우, 분석을 위해서는 처음부터 크롤링해야하는 문제점 존재

1. 20240101~20241130 까지 'A' 키워드로 크롤 DB가 존재할 때
2. 20241201~20241210 기간으로 'A' (똑같은 키워드와 옵션)키워드로 크롤링을 하면

크롤링 기간이 다른 두 개의 DB 병합 가능"
NULL,2.5.1,2024.12.10,"기능 추가",환경설정,Stable,"환경설정에 복잡한 작업 시 표시되는 프로세스 콘솔창 On/Off 기능 추가"
NULL,2.5.2,2024.12.11,"기능 추가","정렬 기능",Stable,"1. 검색어 입력 없이 검색 버튼 누르면 DB 정렬 키워드순 <-> 최신순 토글 가능
2. DB 병합 로직 수정"
NULL,2.5.3,2024.12.12,"기능 추가",워드클라우드,Stable,"ANALYSIS -> 워드클라우드 기능 추가

token 파일 선택 후 실행"
NULL,2.5.4,2024.12.14,"UI 개선","테마, UI",Stable,"1. 전역 UI 디자인, 테마 개선
2. ChatGPT 버튼 -> 텍스트에서 로고로 변경 "
NULL,2.5.5,2025.01.11,"KEMKIM 옵션 추가","KEMKIM 추적 데이터 기준 설정 옵션 추가",Stable,"기준 연도를 "시작 연도"로 설정 시
n-j는 최종 KEMKIM 계산 방식 --> 마지막 기간에서 해당 기간 빼기

기준 연도를 "직전 연도"로 설정 시
n-j = 1

검토 부탁드립니다."
NULL,2.5.6,2025.01.20,"버그 수정","CSV로 저장",Stable,"필터링 버그 수정"
NULL,2.5.7,2025.01.20,"기능 추가","CSV로 저장",Stable,"필터링 시 폴더명에 필터링 항목 포함 옵션 추가"
NULL,2.6.0,2025.01.29,"LLM 모델 추가","LLM 모델",Stable,"Z8에서 로컬로 구동되는 LLM 모델이 추가되었습니다.
기존의 LLM 채팅과 사용방식이 동일하나 환경설정에서 LLM 모델을 선택할 수 있는 옵션이 추가되었습니다.

KEMKIM 해석의 경우, 환경설정에서 설정된 LLM 모델로 AI 분석이 이루어집니다."
NULL,2.6.1,2025.01.30,"기능 변경","LLM 챗봇",Stable,"LLM 챗봇 실행 방식 변경.

홈화면에서 LLM 버튼을 클릭 시 메인 프로세스와 독립적으로 LLM 챗봇 프로세스 생성"
NULL,2.6.2,2025.02.01,"보안 업데이트","보안 개선",Stable,"1. LLM Chat UI 개선
2. 로그인 시 PC MAC Adress 검증, 보안 강화"
NULL,2.6.3,2025.02.12,"기능 추가","댓글 분석",Stable,"통계 분석 기능 추가"
NULL,2.6.4,2025.02.14,"기능 추가","영문 변환",Stable,"1. Wordcloud에 자동 영문변환 기능 추가
2. KEMKIM 조정에 자동 영문변환 기능 추가
"
NULL,2.6.5,2025.02.18,"기능 추가","통계 분석",Stable,"통계분석 - NaverNews Article Reply 월별, 일별 분석 모두 지원"
NULL,2.6.6,2025.02.18,"기능 변경","Wordcloud, Kemkim",Stable,"1. 워드클라우드 버그 수정
2. kemkim 그래프이름 변경"
NULL,2.6.7,2025.02.25,"버그 수정","통계 분석",Stable,"NaverCafe Reply 통계 분석 시 오류 수정"
NULL,2.6.8,2025.03.04,"버그 수정","통계 분석",Stable,"Rereply 통계 분석 오류 수정"
NULL,2.6.9,2025.03.15,"버그 수정","통계 분석",Stable,"통계분석 옵션선택 예외처리 추가"
NULL,2.7.0,2025.03.19,"기능 추가","통계 분석",Stable,"유튜브 통계분석 기능 추가
ChatGPT API 오류 수정"
